,RESPOND_ID,EXAMIN_BEGIN_DE,SEX,AGE,INCOME,SEOUL,GYEONGGI,BUSAN,CHUNGNAM,CHUNGBUK,GYEONGNAM,GYEONGBUK,JEONNAM,JEONBUK,GANGWAN,JEJU,Total,Lodgement,Food,Transport,Shopping,Activity,Etc,Company,Per_Diem,Married,AREA_강원도,AREA_경기도,AREA_경상남도,AREA_경상북도,AREA_광주광역시,AREA_대구광역시,AREA_대전광역시,AREA_부산광역시,AREA_서울특별시,AREA_울산광역시,AREA_인천광역시,AREA_전라남도,AREA_전라북도,AREA_제주도,AREA_충청남도(세종시 포함),AREA_충청북도,Children_미혼,Children_신혼기(자녀 없음),Children_자녀 독립(막내 결혼),Children_자녀 성인(막내 대학),Children_자녀 성장(막내 중고생),Children_자녀 유아&성장(막내 입학전~초등생),Occupation_경영/관리/전문직,Occupation_기능/숙련/일반작업직,Occupation_기타/무직,Occupation_대학/대학원생,Occupation_사무/기술직,Occupation_자영업,Occupation_전업주부,Occupation_판매/서비스직,dbscan_cluster,kmeans_cluster
35,53325803,20240108,0,40,1,3,4,4,1,4,4,1,3,3,2,2,20,5,7,5,1,1,1,5,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9,1
36,53331311,20240108,0,40,1,4,1,3,1,3,4,3,1,1,3,2,20,10,5,3,1,1,1,3,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,1
37,53328601,20240108,0,30,1,3,3,4,5,2,2,2,3,3,5,4,10,1,5,5,1,1,1,2,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0
38,53323903,20240108,0,30,1,3,2,5,4,2,4,3,4,4,3,4,30,10,5,7,1,7,1,2,7,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
39,53376779,20240108,0,20,1,3,3,5,4,3,4,3,4,4,4,5,20,1,10,5,1,5,1,2,4,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0
40,53338554,20240108,1,40,1,3,2,3,3,2,3,4,4,4,3,2,10,5,5,1,1,1,1,4,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1
41,53352732,20240108,1,40,1,3,2,3,4,4,3,3,2,2,3,2,20,5,10,5,1,5,1,3,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10,1
42,53355377,20240108,1,40,1,4,3,2,4,3,3,2,3,3,4,3,10,5,5,5,1,1,1,2,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11,1
43,53356648,20240108,1,40,1,4,4,4,2,3,2,3,2,3,4,2,20,3,3,3,1,10,1,3,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,1
44,53328653,20240108,1,40,1,4,4,3,4,2,3,2,2,2,3,3,10,3,5,1,1,1,1,5,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0
45,455818,20240108,1,20,1,3,2,4,3,3,4,4,3,3,5,2,20,5,10,1,3,1,1,2,7,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1
46,53325071,20240108,1,50,1,1,2,1,1,1,1,1,1,3,4,4,30,5,10,10,5,1,1,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
47,53326035,20240108,1,50,1,3,4,4,3,3,4,3,3,3,4,3,10,3,1,1,1,1,1,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1
48,53329559,20240108,0,40,0,4,4,3,3,3,3,3,3,3,4,3,20,5,5,7,1,1,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,0
49,53331073,20240108,0,30,0,3,3,3,3,3,3,3,3,3,3,3,10,10,1,1,1,1,1,1,7,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,0
50,53332872,20240108,1,50,1,3,2,3,3,3,4,2,3,3,3,2,20,1,10,5,1,5,1,2,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1
51,53335569,20240108,1,50,1,4,3,3,3,3,3,4,4,4,3,2,10,1,7,3,1,1,1,4,3,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33,1
52,53336323,20240108,0,50,1,3,4,4,3,3,5,3,3,3,4,2,30,5,10,1,10,1,1,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,1
53,53336599,20240108,0,40,0,2,4,3,2,3,3,3,4,3,3,3,10,3,1,1,1,1,1,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38,1
54,53340311,20240108,1,50,1,1,1,5,2,2,2,2,2,2,4,4,20,5,5,3,1,7,1,4,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1
55,53343365,20240108,1,50,1,1,1,1,3,1,5,4,5,4,3,3,40,10,10,10,10,10,5,2,5,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,1
56,53343741,20240108,1,40,0,3,3,3,3,3,3,3,3,3,4,2,40,5,10,7,5,7,1,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,0
57,53346703,20240108,1,30,1,3,3,1,2,2,2,1,2,2,1,1,10,7,1,1,1,1,1,3,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
58,53348090,20240108,1,50,1,5,4,5,4,3,4,4,3,4,5,5,30,7,1,5,10,3,3,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1,0
59,53348328,20240108,1,50,1,3,2,4,3,3,3,3,3,2,4,4,20,5,10,5,1,5,1,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1
60,53348522,20240108,0,50,1,3,3,4,3,3,3,3,4,4,3,3,10,3,5,1,1,1,1,5,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1,1
61,53350352,20240108,1,30,1,4,3,4,3,3,3,3,3,3,3,3,10,5,1,1,1,1,1,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
62,53351246,20240108,1,40,1,4,3,5,3,3,4,4,1,3,5,2,20,3,7,5,3,1,1,5,4,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1
63,53351484,20240108,1,50,1,3,3,4,3,3,3,3,4,3,3,3,20,5,10,5,1,1,1,3,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1
64,53353235,20240108,1,50,1,1,1,1,3,4,1,2,3,1,4,4,10,1,5,1,1,1,3,4,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44,1
65,53354974,20240108,1,50,1,5,4,5,5,5,5,5,4,4,5,5,20,5,5,5,7,1,1,4,2,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1
66,53360302,20240108,1,50,1,3,3,3,3,3,3,3,3,3,3,3,40,7,10,10,7,5,1,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1,1
